iter	Passed	Remaining
1273	112535	64129
1274	112623	64040
1275	112698	63945
1276	112779	63852
1277	112864	63762
1278	112950	63672
1279	113026	63577
1280	113121	63493
1281	113209	63404
1282	113290	63311
1283	113379	63224
1284	113456	63129
1285	113543	63040
1286	113633	62953
1287	113712	62859
1288	113791	62766
1289	113883	62679
1290	113965	62588
1291	114042	62493
1292	114131	62406
1293	114214	62314
1294	114298	62224
1295	114382	62133
1296	114467	62043
1297	114549	61951
1298	114633	61861
1299	114717	61770
1300	114801	61680
1301	114887	61590
1302	114965	61497
1303	115045	61404
1304	115137	61318
1305	115231	61233
1306	115314	61142
1307	115404	61054
1308	115485	60963
1309	115564	60869
1310	115655	60783
1311	115736	60691
1312	115816	60598
1313	115901	60508
1314	115986	60418
1315	116068	60327
1316	116153	60237
1317	116265	60161
1318	116352	60073
1319	116435	59982
1320	116527	59895
1321	116610	59804
1322	116702	59718
1323	116796	59633
1324	116900	59553
1325	117001	59471
1326	117093	59385
1327	117194	59303
1328	117283	59215
1329	117375	59128
1330	117471	59044
1331	117564	58958
1332	117658	58873
1333	117758	58791
1334	117843	58701
1335	117939	58616
1336	118025	58527
1337	118112	58438
1338	118209	58354
1339	118306	58270
1340	118395	58182
1341	118491	58097
1342	118585	58012
1343	118672	57923
1344	118763	57836
1345	118857	57750
1346	118970	57674
1347	119068	57590
1348	119181	57514
1349	119282	57432
1350	119380	57348
1351	119488	57269
1352	119590	57187
1353	119696	57107
1354	119800	57026
1355	119888	56938
1356	119973	56848
1357	120062	56760
1358	120153	56672
1359	120244	56585
1360	120332	56497
1361	120422	56409
1362	120503	56317
1363	120589	56227
1364	120683	56142
1365	120773	56054
1366	120867	55968
1367	120957	55880
1368	121051	55795
1369	121141	55707
1370	121231	55619
1371	121323	55532
1372	121413	55445
1373	121496	55354
1374	121587	55266
1375	121675	55178
1376	121762	55089
1377	121858	55004
1378	121944	54914
1379	122032	54826
1380	122118	54736
1381	122209	54649
1382	122298	54561
1383	122385	54471
1384	122478	54385
1385	122565	54296
1386	122655	54208
1387	122738	54118
1388	122833	54032
1389	122924	53945
1390	123011	53856
1391	123097	53766
1392	123181	53676
1393	123278	53591
1394	123362	53501
1395	123448	53411
1396	123533	53321
1397	123615	53230
1398	123701	53141
1399	123788	53052
1400	123869	52960
1401	123962	52873
1402	124050	52785
1403	124134	52695
1404	124227	52608
1405	124313	52519
1406	124408	52433
1407	124503	52348
1408	124591	52259
1409	124681	52171
1410	124769	52083
1411	124865	51997
1412	124973	51917
1413	125070	51832
1414	125157	51743
1415	125246	51655
1416	125340	51569
1417	125425	51479
1418	125511	51389
1419	125596	51300
1420	125676	51208
1421	125763	51118
1422	125855	51031
1423	125948	50945
1424	126031	50854
1425	126113	50763
1426	126206	50677
1427	126290	50586
1428	126386	50501
1429	126481	50415
1430	126568	50326
1431	126655	50237
1432	126748	50150
1433	126835	50061
1434	126930	49976
1435	127019	49887
1436	127101	49797
1437	127192	49709
1438	127275	49618
1439	127357	49527
1440	127438	49436
1441	127534	49350
1442	127625	49263
1443	127713	49174
1444	127805	49087
1445	127892	48998
1446	127985	48912
1447	128073	48823
1448	128171	48738
1449	128259	48650
1450	128347	48561
1451	128444	48476
1452	128535	48388
1453	128628	48301
1454	128710	48211
1455	128797	48121
1456	128877	48030
1457	128961	47940
1458	129056	47854
1459	129152	47768
1460	129244	47681
1461	129327	47591
1462	129408	47499
1463	129517	47418
1464	129615	47334
1465	129729	47254
1466	129830	47170
1467	129949	47093
1468	130041	47006
1469	130128	46916
1470	130211	46826
1471	130299	46737
1472	130380	46646
1473	130460	46555
1474	130543	46464
1475	130628	46374
1476	130706	46282
1477	130791	46193
1478	130876	46103
1479	130955	46011
1480	131047	45924
1481	131137	45836
1482	131223	45746
1483	131304	45655
1484	131382	45563
1485	131466	45473
1486	131556	45385
1487	131646	45297
1488	131728	45206
1489	131814	45117
1490	131893	45025
1491	131976	44935
1492	132068	44848
1493	132162	44761
1494	132245	44671
1495	132332	44582
1496	132414	44492
1497	132490	44399
1498	132577	44310
1499	132664	44221
1500	132753	44133
1501	132834	44042
1502	132914	43950
1503	132991	43859
1504	133075	43768
1505	133151	43676
1506	133236	43586
1507	133321	43497
1508	133399	43405
1509	133485	43316
1510	133575	43228
1511	133658	43138
1512	133745	43049
1513	133829	42959
1514	133912	42869
1515	133997	42780
1516	134089	42692
1517	134173	42603
1518	134259	42513
1519	134346	42425
1520	134427	42334
1521	134512	42245
1522	134592	42154
1523	134676	42064
1524	134762	41975
1525	134841	41883
1526	134923	41793
1527	135001	41702
1528	135091	41614
1529	135176	41524
1530	135262	41435
1531	135347	41346
1532	135432	41256
1533	135516	41167
1534	135603	41078
1535	135687	40988
1536	135777	40900
1537	135861	40811
1538	135945	40721
1539	136032	40633
1540	136119	40544
1541	136200	40453
1542	136284	40364
1543	136375	40276
1544	136454	40185
1545	136537	40095
1546	136621	40006
1547	136699	39914
1548	136782	39825
1549	136870	39736
1550	136950	39645
1551	137035	39556
1552	137120	39467
1553	137199	39376
1554	137281	39286
1555	137372	39198
1556	137453	39108
1557	137532	39017
1558	137615	38927
1559	137700	38838
1560	137781	38748
1561	137871	38660
1562	137953	38570
1563	138038	38481
1564	138126	38392
1565	138218	38305
1566	138299	38215
1567	138386	38126
1568	138466	38036
1569	138555	37948
1570	138642	37859
1571	138722	37769
1572	138804	37679
1573	138892	37590
1574	138977	37501
1575	139063	37412
1576	139149	37324
1577	139228	37233
1578	139306	37142
1579	139398	37055
1580	139483	36966
1581	139569	36877
1582	139661	36790
1583	139741	36699
1584	139825	36610
1585	139916	36522
1586	139999	36433
1587	140089	36345
1588	140176	36257
1589	140263	36168
1590	140348	36079
1591	140439	35992
1592	140517	35901
1593	140600	35811
1594	140687	35723
1595	140769	35633
1596	140853	35544
1597	140940	35455
1598	141026	35366
1599	141111	35277
1600	141206	35191
1601	141293	35102
1602	141376	35013
1603	141467	34925
1604	141551	34836
1605	141631	34746
1606	141718	34658
1607	141802	34568
1608	141882	34478
1609	141967	34389
1610	142050	34300
1611	142129	34209
1612	142210	34120
1613	142293	34030
1614	142371	33939
1615	142462	33852
1616	142552	33764
1617	142637	33675
1618	142723	33587
1619	142808	33498
1620	142897	33410
1621	142993	33324
1622	143085	33236
1623	143170	33147
1624	143263	33060
1625	143361	32974
1626	143448	32886
1627	143537	32798
1628	143622	32709
1629	143707	32620
1630	143798	32533
1631	143891	32446
1632	143975	32357
1633	144067	32269
1634	144149	32180
1635	144229	32090
1636	144317	32002
1637	144399	31912
1638	144478	31822
1639	144570	31735
1640	144655	31646
1641	144737	31556
1642	144818	31467
1643	144906	31378
1644	144991	31289
1645	145076	31201
1646	145163	31112
1647	145254	31025
1648	145343	30937
1649	145431	30849
1650	145515	30760
1651	145607	30672
1652	145689	30583
1653	145771	30493
1654	145862	30406
1655	145950	30318
1656	146030	30228
1657	146119	30140
1658	146207	30052
1659	146286	29962
